EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
58	09:26:37	0	0.0125	1.1740977157143846	1.17649507522583	0.8525	0.8641	0.8583
59	09:43:12	0	0.0125	1.1611380034850702	1.179018259048462	0.8553	0.8630	0.8591
60	09:59:45	1	0.0125	1.1654117617844826	1.178015112876892	0.8519	0.8652	0.8585
61	10:16:11	2	0.0125	1.1611901534691689	1.179906964302063	0.8521	0.8635	0.8578
62	10:32:28	3	0.0125	1.15034584097919	1.1830644607543945	0.8524	0.8643	0.8583
63	10:48:50	4	0.0125	1.1474014229126392	1.1848535537719727	0.8501	0.8658	0.8579
64	11:05:11	1	0.0063	1.151548523928911	1.1731040477752686	0.8551	0.8611	0.8581
65	11:21:30	2	0.0063	1.1363582650110835	1.1749266386032104	0.8557	0.8624	0.8591
66	11:37:59	3	0.0063	1.130712576772249	1.1713016033172607	0.8548	0.8617	0.8582
67	11:54:14	4	0.0063	1.1486283646571258	1.1750072240829468	0.8537	0.8619	0.8578
68	12:10:32	1	0.0031	1.1230502940477833	1.1764816045761108	0.8552	0.8624	0.8588
69	12:26:49	2	0.0031	1.13301702621319	1.1714404821395874	0.8540	0.8626	0.8583
70	12:43:10	3	0.0031	1.1319072368953909	1.1724166870117188	0.8548	0.8617	0.8582
71	12:59:43	4	0.0031	1.1336595462191672	1.1744463443756104	0.8547	0.8628	0.8587
72	13:15:59	0	0.0016	1.1241097998997522	1.1743181943893433	0.8551	0.8633	0.8592
73	13:32:34	0	0.0016	1.1308234320687396	1.172635793685913	0.8555	0.8630	0.8592
74	13:49:14	0	0.0016	1.1374803529608817	1.1729320287704468	0.8550	0.8637	0.8593
75	14:05:47	1	0.0016	1.1271557323043309	1.1718195676803589	0.8555	0.8620	0.8588
76	14:22:10	2	0.0016	1.1246534157544374	1.1726455688476562	0.8548	0.8628	0.8588
77	14:38:43	3	0.0016	1.126002405903169	1.1728143692016602	0.8561	0.8620	0.8591
78	14:55:04	0	0.0016	1.1184790900775365	1.1714622974395752	0.8572	0.8626	0.8599
79	15:11:38	1	0.0016	1.1340055315503998	1.1725744009017944	0.8555	0.8622	0.8589
80	15:27:55	2	0.0016	1.1274044010492543	1.17100989818573	0.8552	0.8620	0.8586
81	15:44:09	3	0.0016	1.1248902106982848	1.172170639038086	0.8548	0.8626	0.8587
82	16:00:26	4	0.0016	1.1330749798152182	1.173185110092163	0.8548	0.8628	0.8588
83	16:16:41	1	0.0008	1.121498261711427	1.1725975275039673	0.8553	0.8628	0.8590
84	16:33:05	2	0.0008	1.113879609320845	1.172735571861267	0.8547	0.8632	0.8589
