EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
57	08:49:54	3	0.0063	0.8622855964220233	1.1617932319641113	0.8633	0.8688	0.8660
58	08:59:22	0	0.0063	0.8587291775685217	1.1616504192352295	0.8650	0.8705	0.8677
59	09:08:45	1	0.0063	0.8599880765827875	1.1630011796951294	0.8630	0.8710	0.8670
60	09:18:11	2	0.0063	0.8560131392811262	1.1608247756958008	0.8633	0.8710	0.8671
61	09:27:37	0	0.0063	0.8533777310586874	1.168195366859436	0.8650	0.8716	0.8683
62	09:37:03	0	0.0063	0.8498911410274487	1.157875418663025	0.8670	0.8701	0.8686
63	09:46:29	1	0.0063	0.8444212843028326	1.1619678735733032	0.8656	0.8703	0.8679
64	09:55:56	2	0.0063	0.8511836858880188	1.1647133827209473	0.8647	0.8708	0.8678
65	10:05:22	0	0.0063	0.8440817157841392	1.1650328636169434	0.8669	0.8707	0.8688
66	10:14:46	1	0.0063	0.8445228654152107	1.1649508476257324	0.8642	0.8720	0.8681
67	10:24:10	2	0.0063	0.8349322741555553	1.1721980571746826	0.8650	0.8718	0.8684
68	10:33:33	0	0.0063	0.8369930033823327	1.1681394577026367	0.8657	0.8720	0.8688
69	10:43:01	1	0.0063	0.8330198223776524	1.1748236417770386	0.8640	0.8716	0.8678
70	10:52:25	0	0.0063	0.8502505909178465	1.166805624961853	0.8667	0.8712	0.8689
71	11:01:47	1	0.0063	0.8291233084386304	1.1749658584594727	0.8632	0.8729	0.8680
72	11:11:13	2	0.0063	0.8339165269234587	1.1734219789505005	0.8635	0.8712	0.8673
73	11:20:39	3	0.0063	0.8347433958025205	1.1720563173294067	0.8647	0.8721	0.8684
74	11:30:03	4	0.0063	0.8247899174365023	1.1721080541610718	0.8650	0.8721	0.8686
75	11:39:30	0	0.0031	0.8314365239754792	1.1754748821258545	0.8663	0.8720	0.8691
76	11:48:55	1	0.0031	0.8212455789898596	1.1712779998779297	0.8656	0.8725	0.8690
77	11:58:18	0	0.0031	0.8292101970060713	1.1692655086517334	0.8673	0.8720	0.8696
